Order ID,first_name,last_name,email,gender,Product,Product Category,Amount,
66,Mitchael,Venour,mvenour22@cdbaby.com,Male,Nike Air Max,Fashion,$898.14 ,
67,Nathan,Balderson,nbalderson23@nih.gov,Male,Fitbit Charge,mobile accesories,"$1,474.00 ",
68,Jacques,Fincham,jfincham24@craigslist.org,Male,Fitbit Charge,Health,$352.27 ,
69,Giselbert,Marquot,gmarquot25@soundcloud.com,Male,Nike Air Max,mobile accesories,$986.79 ,
70,Beverlee,St Pierre,bstpierre26@berkeley.edu,Female,GoPro Hero,Laptop,$559.54 ,
71,Tobin,Leefe,tleefe27@google.com.br,Male,Amazon Echo,Gaming,"$1,274.43 ",
72,Garald,Coling,gcoling28@wiley.com,Male,Nike Air Max,Fashion,"$1,061.63 ",
73,Joanne,McCullum,jmccullum29@cisco.com,Female,Fitbit Charge,Gaming,$757.65 ,
74,Reinhard,Petrello,rpetrello2a@google.nl,Male,iPhone,Gaming,$205.32 ,
75,Lutero,Taberner,ltaberner2b@tinyurl.com,Male,Fitbit Charge,Laptop,$343.31 ,
76,Jackelyn,Bucknall,jbucknall2c@apple.com,Female,Fitbit Charge,Health,"$1,098.15 ",
77,Jeramey,Truckell,jtruckell2d@sfgate.com,Male,Sony PlayStation,Mobiles,"$1,457.79 ",
78,Cordula,Manssuer,cmanssuer2f@ucla.edu,Female,Sony PlayStation,Gaming,"$1,006.20 ",
79,Budd,Nockles,bnockles2g@liveinternet.ru,Male,Sony PlayStation,Health,"$1,098.78 ",
80,Maximo,Lacaze,mlacaze2h@jalbum.net,Non-binary,Nike Air Max,Gaming,$743.21 ,
81,Yorgos,Heyworth,yheyworth2i@sourceforge.net,Male,Fitbit Charge,Laptop,$266.32 ,
82,Rudie,Murphy,rmurphy2j@topsy.com,Male,iPhone,Fashion,$805.45 ,
83,Justinian,Prier,jprier2k@hao123.com,Male,Samsung Galaxy,Gaming,$193.16 ,
84,Lynette,Eberst,leberst2l@vimeo.com,Female,Samsung Galaxy,Gaming,$985.03 ,
85,Natalina,McPhelimy,nmcphelimy2m@economist.com,Female,Sony PlayStation,Mobiles,$473.79 ,
86,Giraldo,Joslin,gjoslin2o@tinypic.com,Genderqueer,Samsung Galaxy,Mobiles,$627.83 ,
87,Constantine,Lighton,clighton2p@guardian.co.uk,Female,Nike Air Max,Gaming,$715.16 ,
88,Peyton,Muff,pmuff2q@cdc.gov,Male,Sony PlayStation,mobile accesories,$44.71 ,
89,Alisander,Blare,ablare2r@hugedomains.com,Male,Nike Air Max,Gaming,$446.64 ,
90,Wilbur,Baton,wbaton2s@dyndns.org,Male,Sony PlayStation,Laptop,$126.60 ,
91,Giovanna,Beazey,gbeazey2u@godaddy.com,Agender,Fitbit Charge,Gaming,$682.93 ,
92,Nelli,Aubrey,naubrey2v@shop-pro.jp,Female,Amazon Echo,Gaming,"$1,006.18 ",
93,Pammi,Karle,pkarle2w@histats.com,Female,Nike Air Max,mobile accesories,"$1,081.13 ",
94,Lorenza,Baldassi,lbaldassi2x@geocities.jp,Female,Nike Air Max,Gaming,$607.94 ,
95,Denney,Weyland,dweyland2y@weibo.com,Male,iPhone,Gaming,$795.03 ,
96,Gilbertine,Kulicke,gkulicke2z@jugem.jp,Female,Fitbit Charge,Health,"$1,315.05 ",
97,Maegan,McGuiney,mmcguiney30@reddit.com,Genderqueer,Fitbit Charge,Gaming,$995.42 ,
98,Noellyn,Eskell,neskell31@1688.com,Non-binary,Fitbit Charge,Gaming,"$1,206.92 ",
99,Martyn,Kemston,mkemston32@joomla.org,Male,Fitbit Charge,Gaming,$819.33 ,
100,Terra,Ollis,tollis33@apache.org,Female,Nike Air Max,Laptop,"$1,425.99 ",
101,Joana,Bowshire,jbowshire34@sogou.com,Female,Canon EOS,Health,"$1,463.15 ",
102,Rena,Rossetti,rrossetti36@slashdot.org,Female,Amazon Echo,Laptop,"$1,400.62 ",
103,Jessee,Keasy,jkeasy37@barnesandnoble.com,Male,Nike Air Max,Fashion,$301.65 ,
104,Arline,Sibson,asibson38@ucoz.com,Female,Nike Air Max,mobile accesories,$565.03 ,
105,Jobyna,Haggard,jhaggard3a@t.co,Female,Nike Air Max,Health,$51.37 ,
106,Lancelot,Bocke,lbocke3b@cbc.ca,Male,Nike Air Max,Fashion,$109.44 ,
107,Tootsie,Tague,ttague3c@ca.gov,Female,iPhone,Fashion,$753.15 ,
108,Barbi,Walklott,bwalklott3d@ovh.net,Female,Nike Air Max,Gaming,$212.66 ,
109,Arlie,Jenkyn,ajenkyn3f@ycombinator.com,Female,MacBook Pro,Fashion,$61.54 ,
110,Lillian,Kroon,lkroon3g@mayoclinic.com,Female,iPhone,mobile accesories,$755.13 ,
111,Ivie,Peplaw,ipeplaw3h@gmpg.org,Female,Amazon Echo,Gaming,$156.32 ,
112,Ferdinand,Tatam,ftatam3i@ed.gov,Male,Sony PlayStation,Health,"$1,230.55 ",
113,,Chmiel,dchmiel3j@harvard.edu,Male,Samsung Galaxy,Fashion,$529.22 ,
114,Nikolas,McCulloch,nmcculloch3k@elpais.com,Male,Fitbit Charge,Gaming,"$1,389.15 ",
115,Lucretia,Corps,lcorps3l@paypal.com,Female,Amazon Echo,Laptop,$374.92 ,
116,Mattias,Filippello,mfilippello3m@ovh.net,Male,Sony PlayStation,Mobiles,$512.87 ,
117,Sargent,Galtone,sgaltone3n@smugmug.com,Non-binary,Amazon Echo,Laptop,$636.35 ,
118,Lindsey,Coope,lcoope3o@youtu.be,Polygender,iPhone,Laptop,$223.81 ,
119,Victoir,Hobbema,vhobbema3p@list-manage.com,Male,GoPro Hero,Fashion,$844.85 ,
120,Farrel,Landsbury,flandsbury3q@boston.com,Male,Samsung Galaxy,Health,$817.52 ,
121,Horton,Headford,hheadford3r@symantec.com,Male,Sony PlayStation,Mobiles,$65.38 ,
122,Chaunce,Shine,cshine3s@nytimes.com,Male,Samsung Galaxy,Gaming,$855.02 ,
123,Raymund,Effnert,reffnert3t@jigsy.com,Male,MacBook Pro,Fashion,"$1,260.36 ",
124,Tabb,Flacknoe,tflacknoe3u@nps.gov,Male,Fitbit Charge,Gaming,$253.08 ,
125,Naomi,Gildersleaves,ngildersleaves3w@tinyurl.com,Female,Sony PlayStation,Mobiles,$284.71 ,
126,Fannie,Goodbarr,fgoodbarr3x@sakura.ne.jp,Female,Sony PlayStation,Laptop,$686.73 ,
127,Charlean,Bonifazio,cbonifazio3y@nasa.gov,Female,Nike Air Max,Gaming,"$1,136.70 ",
128,Frederique,Maggill'Andreis,fmaggillandreis3z@census.gov,Polygender,Nintendo Switch,Fashion,"$1,194.90 ",
129,Deina,Shrimpling,dshrimpling40@google.fr,Female,MacBook Pro,Gaming,"$1,091.12 ",
130,Mathian,Trenholme,mtrenholme41@nih.gov,Bigender,Sony PlayStation,Laptop,$401.82 ,
131,Karolina,Allred,kallred42@livejournal.com,Female,Canon EOS,mobile accesories,$452.77 ,
132,Delaney,Strelitzki,dstrelitzki43@irs.gov,Male,Sony PlayStation,Laptop,$529.52 ,
133,Michelle,Sleightholm,msleightholm45@google.com.au,Bigender,MacBook Pro,Mobiles,$138.36 ,
134,Mirna,Goldney,mgoldney46@narod.ru,Female,Amazon Echo,Fashion,$232.42 ,
135,Hermine,Yule,hyule47@omniture.com,Female,Fitbit Charge,Laptop,$71.10 ,
136,Rick,Lesper,rlesper48@tmall.com,Male,Sony PlayStation,Gaming,$799.82 ,
137,Doria,Lackner,dlackner49@sfgate.com,Female,Nike Air Max,mobile accesories,"$1,394.70 ",
138,Rodger,Butte,rbutte4a@samsung.com,Male,Samsung Galaxy,mobile accesories,$793.57 ,
139,Kerrin,Bushby,kbushby4d@imageshack.us,Female,Nike Air Max,Mobiles,$800.77 ,
140,Consalve,Cominetti,ccominetti4e@cbsnews.com,Male,MacBook Pro,Laptop,"$1,218.79 ",
141,Lenee,Crasswell,lcrasswell4f@gov.uk,Female,Sony PlayStation,Gaming,"$1,156.56 ",
142,Dionne,Fitzer,dfitzer4g@economist.com,Female,Amazon Echo,mobile accesories,$221.83 ,
143,Caron,McLenahan,cmclenahan4h@blogger.com,Bigender,Amazon Echo,Mobiles,$694.31 ,
144,Daisi,Duckerin,dduckerin4i@jalbum.net,Female,Sony PlayStation,Laptop,"$1,218.18 ",
145,Dionisio,Voss,dvoss4j@marriott.com,Male,Amazon Echo,mobile accesories,"$1,409.60 ",
146,Marsiella,Elia,melia4k@sakura.ne.jp,Female,Fitbit Charge,Mobiles,"$1,224.70 ",
147,Andres,Downes,adownes4l@google.pl,Male,Fitbit Charge,Gaming,$513.44 ,
148,Danie,Grzelczak,dgrzelczak4m@cloudflare.com,Male,Fitbit Charge,Laptop,$196.53 ,
149,Pedro,Piperley,ppiperley4n@list-manage.com,Male,Sony PlayStation,Health,$412.36 ,
150,Beaufort,Viccars,bviccars4o@sina.com.cn,Genderqueer,Nike Air Max,Mobiles,"$1,221.57 ",
151,Jen,Soffe,jsoffe4p@mail.ru,Female,Nike Air Max,Health,$796.13 ,
152,Andrea,Collcutt,acollcutt4q@nationalgeographic.com,Male,Sony PlayStation,Fashion,$237.04 ,
153,,Cowterd,acowterd4s@github.com,Polygender,Sony PlayStation,Gaming,"$1,001.39 ",
154,Gris,Clifforth,gclifforth4t@ed.gov,Male,Samsung Galaxy,Health,"$1,467.20 ",
155,Anatola,Emblen,aemblen4u@myspace.com,Female,Nike Air Max,Fashion,"$1,486.71 ",
156,Pepito,Cron,pcron4v@samsung.com,Male,Sony PlayStation,Gaming,"$1,194.66 ",
157,Lynda,Silverthorne,lsilverthorne4w@upenn.edu,Bigender,Sony PlayStation,Gaming,$898.27 ,
158,Tammy,Suggett,tsuggett4x@google.com,Male,Fitbit Charge,Mobiles,"$1,139.92 ",
159,Fionnula,Trayling,ftrayling4y@netlog.com,Female,Sony PlayStation,Health,$646.01 ,
160,Klemens,Pimlott,kpimlott4z@cdc.gov,Polygender,Sony PlayStation,Fashion,"$1,115.91 ",
161,Bili,Braidon,bbraidon50@wikispaces.com,Female,Sony PlayStation,Laptop,"$1,150.05 ",
162,Deane,Glading,dglading51@mit.edu,Male,Nike Air Max,Fashion,$242.47 ,
163,Sheffie,Kenworthey,skenworthey52@imdb.com,Male,Sony PlayStation,Laptop,$556.13 ,
164,Laurie,Ivakhin,livakhin53@kickstarter.com,Female,Nintendo Switch,Gaming,$520.26 ,
165,Peyter,Giorgi,pgiorgi54@w3.org,Male,Sony PlayStation,Fashion,"$1,151.39 ",
166,Eberto,Frede,efrede55@cisco.com,Male,Nike Air Max,Mobiles,"$1,034.28 ",
167,Page,Grindell,pgrindell56@ask.com,Male,Sony PlayStation,Mobiles,"$1,380.62 ",
168,Allianora,Cunney,acunney57@harvard.edu,Female,Amazon Echo,Gaming,$403.82 ,
169,Guendolen,Cornford,gcornford58@instagram.com,Female,Sony PlayStation,Gaming,"$1,086.25 ",
170,Desmund,Accomb,daccomb59@cdc.gov,Male,Nike Air Max,Fashion,$887.50 ,
171,Alexis,Catcherside,acatcherside5a@hatena.ne.jp,Female,Amazon Echo,mobile accesories,"$1,211.29 ",
172,Annabela,Woodrow,awoodrow5b@behance.net,Female,Sony PlayStation,Fashion,$697.68 ,
173,Bartholemy,Carley,bcarley5d@google.it,Polygender,Amazon Echo,Health,$684.16 ,
174,Chester,Greiswood,cgreiswood5e@diigo.com,Male,MacBook Pro,Health,$710.35 ,
175,Rebekah,Masse,rmasse5f@slashdot.org,Genderfluid,Nike Air Max,Fashion,$801.90 ,
176,Jewel,Clamp,jclamp5g@dagondesign.com,Genderqueer,Amazon Echo,Gaming,$830.02 ,
177,Derk,Balnave,dbalnave5h@parallels.com,Male,Sony PlayStation,mobile accesories,$319.67 ,
178,Dori,Paice,dpaice5i@mayoclinic.com,Female,Sony PlayStation,Gaming,$877.81 ,
179,Raffarty,Ziemecki,rziemecki5j@nih.gov,Male,Amazon Echo,Fashion,$44.23 ,
180,Maurie,Hallows,mhallows5k@flickr.com,Male,Samsung Galaxy,Fashion,$405.35 ,
181,Cheri,Duplock,cduplock5l@blogtalkradio.com,Female,GoPro Hero,Gaming,$556.58 ,
182,Saloma,Marishenko,smarishenko5m@jigsy.com,Female,MacBook Pro,Health,"$1,002.05 ",
183,Marjy,Colin,mcolin5n@scientificamerican.com,Genderfluid,Sony PlayStation,Laptop,$612.28 ,
184,Derrick,Menault,dmenault5p@hao123.com,Male,Sony PlayStation,Laptop,$282.27 ,
185,Roosevelt,Luten,rluten5q@umich.edu,Male,GoPro Hero,mobile accesories,$477.86 ,
186,Boycie,Cheer,bcheer5s@vk.com,Male,Fitbit Charge,Health,$361.21 ,
187,Christel,Sizeland,csizeland5t@ovh.net,Female,Nike Air Max,Health,$845.02 ,
188,Corina,Fulford,cfulford5u@sakura.ne.jp,Female,Fitbit Charge,Fashion,$219.11 ,
189,Torrey,Haldene,thaldene5v@linkedin.com,Bigender,Nike Air Max,mobile accesories,"$1,001.82 ",
190,Lee,Cuffe,lcuffe5w@epa.gov,Female,Nike Air Max,Fashion,$329.19 ,
191,Silvie,Bexley,sbexley5x@bravesites.com,Female,Sony PlayStation,Health,$638.76 ,
192,Lonee,Monketon,lmonketon5y@illinois.edu,Female,Sony PlayStation,Laptop,"$1,252.72 ",
193,Tillie,Matussov,tmatussov5z@ycombinator.com,Female,Canon EOS,Laptop,$57.66 ,
194,Caddric,Ladley,cladley60@newyorker.com,Male,Samsung Galaxy,Fashion,"$1,004.03 ",
195,Fanny,Crother,fcrother61@forbes.com,Female,Sony PlayStation,Laptop,$636.49 ,
196,Russ,Pavett,rpavett62@reference.com,Male,Sony PlayStation,mobile accesories,$207.35 ,
197,Celestia,Vynall,cvynall63@jugem.jp,Female,Fitbit Charge,Health,$695.10 ,
198,Laurette,Curtoys,lcurtoys64@i2i.jp,Female,Canon EOS,Health,"$1,306.39 ",
199,Spence,Doore,sdoore65@nps.gov,Male,Nike Air Max,mobile accesories,"$1,263.75 ",
200,Sheelagh,Prattin,sprattin66@homestead.com,Female,Samsung Galaxy,Fashion,$216.41 ,
201,Sissy,Fownes,sfownes67@umich.edu,Female,Nike Air Max,mobile accesories,$933.84 ,
202,Renee,Chilvers,rchilvers68@mail.ru,Female,Sony PlayStation,Health,"$1,021.80 ",
203,Lorilyn,Beaves,lbeaves69@wsj.com,Female,Amazon Echo,Health,$780.36 ,
204,Luci,Hatt,lhatt6a@ovh.net,Female,Nike Air Max,Gaming,$741.28 ,
205,Reeba,Bitterton,rbitterton6b@fc2.com,Female,Sony PlayStation,Laptop,$489.03 ,
206,Crosby,Haspineall,chaspineall6c@ezinearticles.com,Male,Sony PlayStation,Fashion,"$1,455.33 ",
207,Fletch,Boothby,fboothby6d@answers.com,Non-binary,MacBook Pro,Mobiles,$580.76 ,
208,Melva,Swindell,mswindell6e@nhs.uk,Bigender,Fitbit Charge,Health,$29.67 ,
209,Jermayne,Eliot,jeliot6f@state.tx.us,Male,Fitbit Charge,Gaming,$101.78 ,
210,Ruthe,Beckingham,rbeckingham6g@stanford.edu,Female,Fitbit Charge,Fashion,$281.21 ,
211,Lyda,Proby,lproby6h@wsj.com,Genderfluid,Nike Air Max,Laptop,$312.88 ,
212,Taddeo,Odams,todams6i@fema.gov,Non-binary,Amazon Echo,Fashion,"$1,228.11 ",
213,Jacquenetta,Frankel,jfrankel6j@wikipedia.org,Female,Sony PlayStation,Laptop,"$1,088.58 ",
214,Antonie,Swannell,aswannell6k@joomla.org,Female,Amazon Echo,Health,$773.84 ,
215,Lib,Matt,lmatt6l@webnode.com,Female,Sony PlayStation,Gaming,$323.14 ,
216,Jackqueline,Brockelsby,jbrockelsby6m@tinyurl.com,Female,Nike Air Max,Fashion,"$1,021.54 ",
217,Julina,Measor,jmeasor6n@answers.com,Agender,GoPro Hero,mobile accesories,$446.33 ,
218,Kerr,Dubbin,kdubbin6o@cbslocal.com,Male,Sony PlayStation,Gaming,$840.40 ,
219,Scotty,Mustarde,smustarde6p@buzzfeed.com,Male,Sony PlayStation,mobile accesories,"$1,288.83 ",
220,Rebekkah,Dunton,rdunton6r@cnbc.com,Female,Nike Air Max,Health,"$1,168.25 ",
221,Lorri,Dumke,ldumke6s@123-reg.co.uk,Female,Nintendo Switch,Gaming,$119.91 ,
222,Vina,Staner,vstaner6t@stanford.edu,Female,Nike Air Max,Mobiles,"$1,304.74 ",
223,Filberte,Torresi,ftorresi6u@is.gd,Male,Sony PlayStation,Laptop,"$1,086.68 ",
224,Baxy,Domanek,bdomanek6v@hp.com,Male,Fitbit Charge,Fashion,$389.08 ,
225,Chrissy,Clawsley,cclawsley6x@irs.gov,Male,MacBook Pro,Gaming,$381.12 ,
226,Nobie,Sidwell,nsidwell6y@state.gov,Male,Fitbit Charge,Laptop,$542.36 ,
227,Noelani,Hayhoe,nhayhoe6z@com.com,Female,Amazon Echo,mobile accesories,$31.21 ,
228,Reece,Crosetti,rcrosetti70@blogtalkradio.com,Male,Fitbit Charge,Mobiles,"$1,312.52 ",
229,Costanza,Yerby,cyerby71@myspace.com,Female,Canon EOS,Fashion,$640.48 ,
230,Davidde,Witson,dwitson72@jalbum.net,Male,Fitbit Charge,Gaming,"$1,492.83 ",
231,Stanton,McAree,smcaree73@telegraph.co.uk,Male,Fitbit Charge,Fashion,$606.53 ,
232,Rowney,Cokely,rcokely75@engadget.com,Male,Fitbit Charge,Fashion,$533.43 ,
233,Minette,Aron,maron76@cisco.com,Female,Sony PlayStation,Laptop,"$1,293.63 ",
234,Ambrosius,Ralton,aralton77@prweb.com,Male,Nike Air Max,Health,"$1,018.38 ",
235,Enrika,O'Sharkey,eosharkey79@pbs.org,Polygender,Fitbit Charge,Laptop,"$1,201.61 ",
236,Zollie,Carrick,zcarrick7a@economist.com,Male,Nike Air Max,Health,"$1,283.54 ",
237,Keefer,Janczewski,kjanczewski7b@posterous.com,Male,Fitbit Charge,Gaming,"$1,134.19 ",
238,Flynn,Stilling,fstilling7c@theguardian.com,Genderqueer,GoPro Hero,Fashion,$658.76 ,
239,Georg,Alyutin,galyutin7d@csmonitor.com,Male,iPhone,mobile accesories,$995.88 ,
240,Isaak,Kollaschek,ikollaschek7e@netscape.com,Male,GoPro Hero,Mobiles,$272.57 ,
241,Wilhelm,Hynam,whynam7f@toplist.cz,Male,MacBook Pro,Laptop,$195.32 ,
242,Donna,Rumford,drumford7g@columbia.edu,Female,Nike Air Max,Health,$836.39 ,
243,Christin,Cardillo,ccardillo7i@hibu.com,Female,Fitbit Charge,Gaming,$87.11 ,
244,Daisey,Meineking,dmeineking7j@canalblog.com,Female,Amazon Echo,Gaming,$203.76 ,
245,Neale,Svanetti,nsvanetti7k@gizmodo.com,Male,Canon EOS,Gaming,"$1,384.94 ",
246,Josie,Oret,joret7l@alibaba.com,Female,Sony PlayStation,Laptop,$576.46 ,
247,Pier,Middlehurst,pmiddlehurst7m@pinterest.com,Female,Sony PlayStation,Health,$445.61 ,
248,Rudyard,Aksell,raksell7n@e-recht24.de,Male,Amazon Echo,Laptop,$605.26 ,
249,Catha,Iacobucci,ciacobucci7o@tiny.cc,Female,Amazon Echo,Mobiles,$533.95 ,
250,Free,Trewhela,ftrewhela7p@whitehouse.gov,Male,Fitbit Charge,Laptop,"$1,206.90 ",
251,Fey,Pegler,fpegler7q@prweb.com,Female,Sony PlayStation,Health,$543.67 ,
252,Anallise,Leathwood,aleathwood7s@gizmodo.com,Female,Fitbit Charge,mobile accesories,"$1,115.40 ",
253,Morten,Cummungs,mcummungs7t@blogspot.com,Male,Fitbit Charge,mobile accesories,$850.14 ,
254,Melania,Oakes,moakes7u@dropbox.com,Female,Sony PlayStation,Health,"$1,188.52 ",
255,Francklyn,Stubley,fstubley7v@imageshack.us,Male,Fitbit Charge,Fashion,"$1,204.80 ",
256,Tynan,Mityashin,tmityashin7x@dropbox.com,Male,Nike Air Max,Laptop,$487.35 ,
257,Mada,Vann,mvann7y@alibaba.com,Female,Amazon Echo,Health,"$1,495.31 ",
258,Jereme,Langsbury,jlangsbury7z@china.com.cn,Male,Nike Air Max,mobile accesories,"$1,255.17 ",
259,Alexander,Boal,aboal80@g.co,Male,Amazon Echo,Health,$472.83 ,
260,Benedikt,Toffoloni,btoffoloni81@ustream.tv,Male,Fitbit Charge,mobile accesories,$793.62 ,
261,Garv,Margrem,gmargrem83@disqus.com,Male,Amazon Echo,Gaming,"$1,159.66 ",
262,Jacenta,Lowis,jlowis84@senate.gov,Female,Nike Air Max,mobile accesories,"$1,005.10 ",
263,Jaye,Lathey,jlathey86@nba.com,Male,Nike Air Max,Gaming,$610.35 ,
264,Donielle,Emanuelli,demanuelli87@posterous.com,Female,Amazon Echo,Mobiles,$220.05 ,
265,Cindy,Cory,ccory88@craigslist.org,Female,Fitbit Charge,mobile accesories,$376.28 ,
266,Egor,Cradock,ecradock89@newyorker.com,Male,Canon EOS,Mobiles,"$1,094.68 ",
267,Emily,Cawkwell,ecawkwell8a@census.gov,Female,Sony PlayStation,Laptop,"$1,074.91 ",
268,Engracia,Dowdall,edowdall8b@list-manage.com,Female,Sony PlayStation,Laptop,"$1,481.09 ",
